State Name,District Name,Block Name,GP Name,Slot,Start Date,Officer Name
BIHAR,SIWAN,SIWAN,HASANPURWA,Forenoon,15/01/2024,Sri Alok Kumar Singh
BIHAR,SIWAN,SIWAN,SARABE,Afternoon,19/01/2024,Sri Dhananjay Kumar
BIHAR,SIWAN,SIWAN,MAKARIAR,Afternoon,16/01/2024,Sri Alok Kumar Singh
BIHAR,SIWAN,SIWAN,KARAN PURA,Afternoon,15/01/2024,Sri Alok Kumar Singh
BIHAR,SIWAN,SIWAN,NATHU CHHAP,Forenoon,17/01/2024,Susri Ragni Gupta
BIHAR,SIWAN,SIWAN,SIYARI,Afternoon,20/01/2024,Sri Dhananjay Kumar
BIHAR,SIWAN,SIWAN,CHANAUR,Forenoon,14/01/2024,Sri Anil Kumar Akela
BIHAR,SIWAN,SIWAN,BHANTA POKHAR,Afternoon,13/01/2024,Sri Anil Kumar Akela
BIHAR,SIWAN,SIWAN,BAGHRA,Forenoon,12/01/2024,Sri Krishnanad Ray
BIHAR,SIWAN,SIWAN,PITHAURI,Afternoon,18/01/2024,Sri Dhananjay Kumar
BIHAR,SIWAN,SIWAN,BALETHA,Afternoon,12/01/2024,Sri Krishnanad Ray
BIHAR,SIWAN,SIWAN,DHANAUTI,Afternoon,14/01/2024,Sri Anil Kumar Akela
BIHAR,SIWAN,SIWAN,ORMA MAKUND,Afternoon,17/01/2024,Susri Ragni Gupta
BIHAR,SIWAN,SIWAN,PACHLAKHI,Forenoon,18/01/2024,Susri Ragni Gupta
BIHAR,SIWAN,SIWAN,BARHAN,Forenoon,13/01/2024,Sri Anil Kumar Akela
BIHAR,SIWAN,SIWAN,SARSAR,Forenoon,20/01/2024,Sri Dhananjay Kumar
BIHAR,SIWAN,SIWAN,MAHUARI,Forenoon,16/01/2024,Sri Alok Kumar Singh
BIHAR,SIWAN,SIWAN,RAMAPALI,Forenoon,19/01/2024,Sri Dhananjay Kumar
